step, L_x0, L_y0, L_x1, L_y1, L_x2, L_y2, L_x3, L_y3
879, 217, 29,  249, 139, 348, 45, 378, 135
880, 213, 68,  262, 188, 353, 55, 393, 179
881, 189, 8,  221, 144, 344, 20, 381, 142
882, 191, 60,  240, 181, 347, 44, 405, 174
883, 215, 61,  245, 137, 341, 29, 373, 111
884, 202, 24,  240, 125, 329, 14, 377, 128
885, 195, 30,  241, 128, 338, 14, 358, 76
886, 192, 49,  243, 164, 327, 11, 381, 162
887, 191, 47,  226, 143, 337, 22, 366, 118
888, 208, 57,  235, 135, 349, 36, 377, 109
889, 197, 41,  232, 141, 344, 3, 378, 119
890, 201, 23,  232, 123, 344, 40, 370, 153
891, 212, 51,  237, 143, 346, 25, 369, 149
892, 201, 32,  228, 117, 341, 23, 367, 145
893, 206, 32,  234, 140, 352, 47, 376, 154
894, 206, 27,  229, 151, 342, 20, 360, 146
895, 201, 47,  210, 153, 361, 34, 372, 150
896, 207, 46,  213, 131, 356, 40, 360, 145
897, 209, 49,  225, 165, 342, 30, 357, 138
898, 196, 40,  216, 134, 357, 33, 367, 144
899, 206, 38,  217, 146, 345, 34, 356, 134
900, 218, 34,  218, 73, 364, 43, 372, 134
901, 211, 32,  215, 78, 354, 31, 354, 79
902, 215, 32,  214, 75, 365, 35, 363, 84
921, 197, 20,  171, 118, 330, 15, 306, 122
922, 204, 22,  164, 137, 334, 32, 299, 122
923, 199, 16,  173, 107, 337, 21, 294, 118
924, 193, 11,  154, 105, 348, 20, 301, 131


1950, 176, 22,  156, 160, 324, 19, 317, 114
1951, 164, 32,  166, 90, 319, 37, 320, 123
1952, 167, 30,  168, 94, 316, 32, 311, 104
1953, 162, 31,  168, 94, 316, 38, 310, 105
1954, 169, 34,  167, 93, 320, 36, 314, 99
1955, 169, 34,  160, 107, 322, 35, 309, 107
1969, 140, 38,  156, 92, 317, 35, 341, 105
1970, 140, 33,  162, 90, 321, 30, 356, 106
1971, 135, 34,  164, 79, 300, 10, 345, 97
1972, 137, 33,  162, 88, 311, 24, 348, 94
1973, 146, 25,  170, 79, 312, 26, 340, 90
1974, 142, 25,  166, 78, 317, 36, 349, 103
1975, 131, 26,  163, 91, 310, 19, 352, 102
1976, 140, 5,  163, 74, 312, 10, 327, 101
1983, 168, 13,  162, 87, 319, 18, 316, 131
1984, 175, 11,  162, 87, 329, 12, 318, 65
1985, 158, 10,  156, 86, 324, 9, 320, 65
1986, 173, 4,  163, 93, 327, 3, 318, 63
2400, 225, 53,  195, 122, 358, 34, 336, 121
2401, 215, 59,  195, 133, 351, 42, 329, 124
2402, 219, 53,  201, 104, 352, 80, 335, 145
2408, 212, 43,  179, 102, 362, 56, 341, 110
2409, 208, 45,  178, 107, 368, 60, 330, 115
2410, 206, 50,  178, 103, 353, 80, 321, 123
2411, 216, 27,  177, 100, 346, 71, 286, 169
2416, 214, 31,  141, 153, 364, 45, 313, 130
2417, 210, 23,  155, 109, 358, 44, 315, 129
2418, 202, 17,  166, 84, 364, 20, 332, 92
2419, 209, 27,  156, 136, 355, 36, 295, 148
2420, 204, 23,  155, 96, 365, 30, 329, 96
2421, 197, 20,  147, 112, 358, 24, 282, 157
2422, 199, 16,  145, 128, 358, 28, 317, 127
2423, 200, 25,  147, 122, 352, 26, 279, 148
2424, 196, 19,  150, 120, 353, 22, 301, 140
2425, 184, 26,  153, 124, 344, 32, 282, 158
2426, 182, 19,  132, 133, 354, 22, 299, 140
2427, 188, 7,  151, 114, 328, 14, 285, 144
2689, 184, 16,  145, 170, 317, 9, 285, 146
2690, 178, 29,  165, 116, 330, 40, 316, 149
2691, 184, 33,  161, 110, 340, 35, 314, 123
2692, 181, 21,  158, 105, 342, 23, 311, 123
3000, 194, 49,  215, 143, 327, 36, 353, 115
3001, 180, 46,  199, 133, 348, 39, 370, 127
3002, 188, 49,  233, 155, 328, 42, 383, 152
3003, 195, 53,  239, 157, 315, 40, 363, 143
3004, 182, 54,  234, 150, 336, 75, 371, 145
3005, 182, 52,  230, 141, 314, 26, 360, 121
3012, 203, 33,  213, 144, 351, 21, 359, 118
3013, 210, 25,  218, 137, 352, 28, 365, 128
3014, 204, 27,  208, 135, 347, 24, 350, 143
3015, 205, 23,  206, 131, 353, 21, 360, 127
3016, 199, 29,  214, 126, 347, 29, 356, 126
3850, 149, 9,  123, 143, 297, 14, 273, 144
3851, 155, 17,  122, 146, 309, 22, 276, 142
3852, 157, 12,  140, 136, 280, 15, 258, 133
3853, 159, 16,  143, 134, 288, 11, 269, 137
3854, 166, 15,  131, 140, 314, 15, 284, 149
3855, 154, 18,  165, 129, 310, 11, 307, 121
3856, 127, 29,  153, 126, 284, 37, 300, 114
3857, 132, 46,  164, 167, 288, 105, 313, 179
3858, 139, 55,  159, 166, 291, 100, 308, 167
3859, 137, 47,  159, 170, 271, 29, 301, 147
3874, 160, 72,  215, 176, 286, 38, 331, 119
3875, 149, 65,  219, 152, 259, 62, 297, 119
3876, 158, 42,  224, 150, 304, 52, 351, 109
3878, 182, 59,  225, 146, 282, 23, 324, 95
3879, 169, 64,  227, 146, 275, 28, 332, 100
3880, 179, 67,  233, 154, 297, 37, 340, 102
3881, 172, 64,  240, 162, 309, 70, 362, 161
3882, 180, 97,  206, 137, 336, 97, 371, 167
3883, 200, 111,  249, 172, 347, 78, 397, 145
3884, 198, 67,  244, 151, 338, 71, 400, 169
3885, 169, 47,  217, 113, 312, 25, 373, 116
4051, 151, 18,  130, 107, 294, 21, 270, 132
4052, 146, 17,  125, 123, 308, 17, 271, 154
4053, 142, 40,  145, 112, 304, 31, 306, 117
4054, 140, 48,  139, 154, 326, 44, 324, 156
4055, 142, 25,  144, 143, 321, 32, 320, 148
4056, 143, 24,  144, 136, 341, 33, 348, 146
4057, 144, 32,  154, 144, 301, 29, 313, 150
4058, 144, 32,  164, 118, 296, 31, 319, 105
4059, 156, 28,  164, 114, 297, 27, 307, 135
4066, 136, 27,  178, 158, 307, 20, 345, 162
4067, 129, 25,  170, 155, 316, 11, 361, 153
4068, 129, 33,  165, 152, 298, 31, 336, 151
4069, 139, 30,  170, 121, 292, 29, 338, 134
4082, 145, 25,  157, 160, 327, 13, 334, 155
4083, 138, 21,  159, 163, 306, 9, 319, 147
4084, 148, 22,  165, 170, 324, 14, 337, 153
4085, 154, 37,  161, 177, 325, 25, 339, 151
4150, 174, 17,  221, 163, 327, 12, 377, 155
4151, 171, 28,  207, 102, 345, 12, 370, 93
4152, 175, 30,  205, 99, 334, 19, 370, 109
4153, 176, 20,  196, 100, 340, 18, 358, 90
4154, 185, 43,  206, 133, 341, 24, 362, 124
4155, 174, 46,  209, 152, 329, 13, 356, 123
4156, 173, 34,  204, 141, 337, 20, 367, 119
4157, 177, 25,  205, 128, 340, 17, 365, 120
4158, 172, 9,  206, 121, 344, 14, 357, 111
4159, 184, 16,  205, 114, 347, 16, 358, 115
4160, 179, 21,  197, 110, 346, 21, 373, 111
4171, 177, 30,  194, 142, 351, 17, 362, 134
4177, 182, 30,  193, 116, 346, 19, 342, 115
4178, 174, 6,  177, 96, 343, 22, 339, 119
4181, 193, 17,  187, 109, 348, 17, 340, 116
4184, 177, 24,  174, 101, 341, 20, 335, 99
10000, 149, 24,  120, 80, 295, 24, 269, 66
10010, 121, 29,  62, 138, 290, 24, 247, 113
10030, 118, 59,  76, 116, 278, 76, 250, 120
10031, 124, 35,  80, 110, 279, 60, 250, 119
10032, 122, 37,  82, 93, 294, 63, 256, 127
10033, 105, 70,  69, 145, 265, 98, 233, 168
10034, 122, 34,  84, 112, 279, 71, 239, 166
10035, 120, 37,  93, 128, 279, 60, 251, 158
10036, 105, 48,  91, 122, 289, 52, 275, 130
10037, 121, 38,  85, 119, 304, 48, 273, 122
10038, 117, 41,  67, 160, 302, 46, 237, 176
10100, 139, 102,  136, 180, 326, 84, 324, 157
10101, 143, 99,  139, 177, 324, 94, 328, 163
10104, 132, 51,  137, 163, 305, 37, 317, 133
10105, 129, 46,  133, 160, 302, 32, 304, 141
10106, 129, 54,  133, 192, 298, 32, 304, 146
10107, 121, 38,  136, 168, 300, 26, 311, 146
10108, 135, 33,  116, 159, 320, 30, 306, 140
10109, 150, 37,  125, 169, 340, 39, 312, 150
10110, 140, 35,  126, 164, 307, 32, 298, 167
10111, 136, 38,  122, 175, 318, 38, 295, 181
10112, 139, 21,  127, 148, 322, 30, 299, 162
10160, 117, 52,  94, 154, 289, 33, 267, 133
10161, 119, 35,  94, 141, 299, 23, 277, 115
10162, 141, 24,  99, 109, 305, 26, 273, 113
10163, 121, 29,  67, 104, 309, 39, 243, 111
10164, 120, 30,  79, 80, 302, 32, 246, 100
10165, 124, 18,  72, 72, 307, 30, 237, 95
10289, 141, 22,  170, 135, 303, 14, 338, 133
10290, 142, 14,  170, 132, 296, 6, 320, 123
10291, 127, 20,  167, 137, 293, 20, 326, 117
10292, 126, 31,  165, 135, 279, 17, 315, 102
10293, 133, 18,  170, 112, 278, 17, 319, 100
10294, 153, 29,  173, 128, 293, 19, 322, 112
10295, 150, 25,  185, 134, 306, 14, 330, 109
10296, 159, 28,  180, 112, 292, 17, 318, 90
10297, 154, 24,  184, 110, 304, 18, 319, 83
10298, 155, 15,  182, 103, 299, 11, 315, 73
10299, 161, 21,  179, 102, 321, 22, 334, 97
10300, 151, 33,  177, 127, 301, 13, 335, 116
10301, 150, 27,  180, 102, 314, 21, 339, 91


10500, 313, 18,  358, 86, 160, 47, 221, 138
10501, 160, 81,  210, 145, 329, 28, 364, 67
10502, 167, 75,  228, 147, 326, 25, 381, 99
10503, 172, 74,  216, 139, 330, 15, 371, 75
10504, 177, 62,  221, 134, 340, 21, 372, 90
10505, 187, 42,  228, 124, 320, 18, 376, 84
10506, 175, 34,  245, 146, 320, 20, 355, 78
10507, 195, 37,  235, 116, 321, 16, 358, 74
10508, 186, 40,  232, 113, 316, 11, 356, 71
10509, 188, 37,  228, 108, 329, 12, 352, 62
10510, 185, 34,  231, 114, 323, 14, 396, 117
10511, 192, 21,  240, 119, 339, 16, 390, 119
10512, 194, 46,  259, 157, 327, 21, 398, 122
10514, 192, 31,  248, 125, 358, 18, 406, 101
10513, 178, 45,  232, 125, 361, 17, 407, 84
10515, 192, 25,  248, 115, 375, 24, 412, 88
10580, 209, 24,  182, 87, 382, 33, 353, 101
10581, 198, 18,  177, 107, 358, 28, 327, 120
10582, 203, 20,  174, 75, 376, 40, 344, 109
10583, 204, 14,  159, 127, 379, 31, 342, 108
10584, 187, 21,  153, 120, 359, 28, 327, 122
10585, 192, 39,  148, 121, 371, 44, 339, 107
10586, 191, 34,  164, 86, 360, 36, 324, 114
10587, 191, 28,  155, 106, 364, 27, 327, 109
10588, 192, 25,  157, 111, 360, 25, 328, 104
10589, 192, 25,  163, 78, 372, 30, 345, 81
10660, 141, 35,  182, 113, 290, 14, 331, 79
10661, 149, 33,  172, 96, 315, 12, 336, 60
10662, 153, 19,  194, 121, 320, 15, 361, 95
10663, 149, 25,  194, 127, 336, 12, 368, 98
10664, 159, 16,  202, 97, 301, 12, 346, 101
10665, 161, 14,  184, 70, 331, 13, 352, 55
10680, 178, 44,  222, 106, 352, 19, 381, 78
10681, 181, 43,  218, 104, 339, 20, 368, 86
10682, 179, 28,  215, 93, 329, 11, 364, 86
10683, 175, 43,  212, 102, 342, 17, 379, 71
10684, 184, 26,  219, 94, 340, 10, 363, 81
10685, 177, 24,  216, 91, 327, 11, 352, 57
10686, 168, 23,  207, 77, 337, 9, 366, 58
10693, 166, 23,  193, 70, 333, 4, 355, 55
10694, 177, 16,  196, 66, 339, 14, 355, 83
10695, 184, 13,  190, 60, 344, 3, 356, 49
10696, 186, 11,  197, 57, 343, 5, 351, 47
10697, 178, 13,  192, 54, 341, 7, 357, 76
10698, 179, 10,  193, 51, 337, 10, 355, 45
10699, 178, 11,  192, 48, 337, 7, 346, 42
10999, 161, 8,  140, 63, 329, 15, 302, 73
11000, 168, 10,  155, 64, 318, 12, 286, 114
11001, 155, 18,  142, 83, 328, 21, 309, 71
11002, 173, 6,  161, 68, 325, 10, 309, 65
11003, 150, 20,  140, 77, 333, 30, 321, 84
11004, 168, 18,  148, 133, 330, 15, 306, 114
11005, 162, 11,  153, 70, 317, 4, 307, 58
11007, 185, 15,  158, 136, 342, 20, 317, 135
11008, 146, 15,  147, 90, 317, 9, 313, 67
11009, 160, 22,  152, 87, 322, 15, 310, 67
11010, 151, 7,  140, 82, 342, 8, 327, 75
11011, 177, 11,  157, 130, 332, 9, 315, 104
11012, 173, 42,  148, 146, 328, 38, 311, 128


11015, 149, 52,  142, 130, 327, 24, 316, 131
11016, 160, 11,  160, 119, 319, 8, 314, 129
11017, 164, 28,  158, 174, 321, 19, 318, 132
11018, 178, 10,  160, 181, 331, 8, 314, 130
11019, 184, 4,  170, 116, 348, 17, 332, 136
11020, 183, 15,  158, 172, 351, 23, 333, 133
11021, 183, 17,  167, 174, 336, 15, 325, 150
11022, 156, 32,  158, 169, 318, 16, 315, 112
11023, 155, 30,  168, 164, 309, 12, 315, 122
11024, 166, 14,  162, 159, 319, 8, 314, 105
11025, 179, 14,  170, 157, 311, 12, 306, 102
11026, 156, 26,  158, 179, 310, 13, 305, 136
11027, 175, 13,  175, 174, 309, 9, 299, 123
11028, 158, 13,  170, 153, 311, 8, 317, 96
11029, 181, 10,  184, 157, 313, 6, 315, 144
11030, 169, 11,  181, 152, 301, 8, 314, 122
11031, 181, 11,  183, 166, 326, 10, 327, 135
11032, 171, 9,  194, 174, 320, 11, 329, 127
11033, 167, 10,  191, 161, 315, 6, 341, 174
11034, 177, 11,  193, 161, 325, 8, 342, 169
11035, 178, 12,  181, 156, 324, 7, 340, 169
11070, 179, 13,  228, 161, 332, 14, 385, 142
11071, 168, 6,  220, 115, 305, 7, 354, 83
11072, 179, 13,  234, 171, 318, 4, 368, 150
11073, 176, 26,  223, 165, 312, 9, 358, 136
11074, 168, 17,  228, 160, 317, 6, 385, 154
11075, 176, 16,  227, 143, 305, 5, 364, 136
11076, 179, 12,  229, 143, 323, 8, 360, 130
11077, 167, 16,  219, 144, 323, 7, 394, 163
11078, 177, 17,  236, 170, 327, 8, 389, 162
11079, 182, 19,  233, 146, 325, 7, 371, 131
11080, 185, 9,  241, 166, 320, 5, 367, 158
11081, 185, 16,  232, 138, 323, 10, 368, 129
11082, 187, 17,  235, 153, 337, 7, 370, 110
11083, 188, 11,  234, 149, 337, 3, 377, 153
11084, 187, 11,  208, 122, 344, 9, 356, 115
11085, 195, 17,  205, 122, 341, 12, 348, 112
11086, 199, 16,  216, 145, 342, 10, 354, 149
11087, 199, 17,  212, 147, 340, 6, 355, 145
11088, 194, 14,  213, 136, 337, 9, 360, 143
11089, 202, 16,  208, 140, 345, 7, 360, 140
11090, 203, 11,  215, 164, 341, 8, 358, 172
11091, 179, 9,  208, 136, 325, 3, 341, 133
11092, 209, 15,  211, 130, 339, 12, 341, 134
11093, 183, 14,  205, 126, 328, 10, 354, 131
11094, 196, 18,  203, 128, 339, 7, 344, 129
11095, 188, 9,  205, 120, 332, 10, 348, 131
11096, 201, 19,  209, 118, 335, 12, 345, 126
11130, 196, 17,  259, 152, 275, 21, 321, 130
11131, 174, 14,  223, 124, 267, 32, 313, 127
11227, 178, 31,  164, 163, 298, 21, 282, 124
11228, 183, 31,  179, 147, 280, 19, 264, 158
11229, 188, 14,  171, 188, 284, 12, 265, 156
11230, 182, 8,  172, 147, 295, 13, 285, 125
11231, 184, 9,  167, 150, 282, 16, 275, 101
11232, 175, 36,  163, 173, 279, 27, 266, 150
11233, 153, 23,  155, 181, 260, 51, 265, 117
11234, 190, 22,  176, 124, 295, 11, 281, 99
11235, 179, 13,  157, 134, 312, 11, 296, 118
11236, 186, 11,  167, 164, 292, 15, 277, 167
11237, 182, 12,  163, 157, 295, 11, 264, 160
11238, 167, 13,  159, 168, 274, 18, 267, 146
11239, 176, 26,  160, 170, 277, 22, 258, 167
11240, 178, 22,  159, 190, 274, 21, 267, 161
11241, 181, 19,  161, 150, 291, 23, 260, 159
11242, 179, 18,  154, 158, 282, 15, 260, 165
11243, 168, 22,  153, 151, 315, 26, 294, 139
11266, 152, 14,  112, 148, 311, 15, 274, 125
11267, 152, 11,  98, 210, 297, 12, 249, 197
11268, 166, 11,  99, 242, 313, 14, 253, 195
11269, 172, 6,  134, 140, 303, 7, 265, 150
11270, 151, 10,  103, 199, 300, 7, 262, 177
11271, 158, 9,  109, 195, 312, 11, 258, 237
11272, 144, 11,  112, 209, 296, 7, 263, 186
11273, 162, 9,  115, 201, 313, 14, 259, 213
11274, 136, 16,  118, 189, 284, 21, 272, 155
11275, 163, 9,  123, 188, 304, 12, 265, 166
11276, 166, 11,  117, 222, 309, 14, 269, 206
11277, 138, 16,  121, 187, 302, 10, 281, 162
11278, 146, 18,  129, 145, 305, 15, 282, 165
11279, 156, 16,  151, 127, 294, 7, 285, 157
11280, 140, 13,  140, 175, 289, 10, 292, 209



11288, 136, 18,  142, 153, 295, 10, 299, 142
11289, 137, 14,  145, 150, 288, 12, 299, 141
11290, 128, 21,  150, 215, 304, 14, 309, 180
11291, 123, 24,  141, 199, 303, 7, 311, 174
11292, 122, 47,  143, 211, 296, 12, 313, 180
11293, 125, 25,  148, 184, 300, 7, 324, 172
11294, 134, 16,  141, 140, 317, 8, 321, 158
11295, 137, 9,  145, 144, 299, 4, 306, 167
11296, 142, 10,  148, 200, 299, 23, 319, 198
11297, 137, 12,  156, 194, 299, 5, 321, 187
11298, 124, 16,  153, 175, 291, 8, 319, 156
11299, 144, 28,  161, 201, 303, 14, 324, 210
11300, 125, 11,  150, 182, 291, 10, 324, 195
11301, 127, 9,  160, 188, 298, 9, 322, 187
11302, 128, 15,  165, 191, 294, 5, 319, 164
11303, 146, 9,  152, 172, 316, 18, 324, 140
11304, 141, 16,  157, 185, 302, 16, 324, 200
11305, 140, 18,  166, 224, 290, 14, 321, 226
11306, 146, 36,  188, 240, 300, 18, 325, 144
11307, 151, 11,  178, 231, 302, 8, 327, 211
11308, 141, 17,  167, 221, 303, 10, 319, 203
11309, 147, 19,  169, 205, 297, 9, 317, 154
11310, 141, 22,  165, 210, 299, 14, 311, 191
11311, 133, 33,  164, 243, 302, 14, 317, 156
11312, 133, 17,  167, 205, 296, 17, 317, 158
11313, 135, 23,  162, 195, 298, 9, 321, 148
11314, 132, 18,  170, 226, 289, 10, 319, 204
11315, 123, 28,  158, 170, 298, 8, 322, 125
11316, 127, 15,  142, 179, 295, 6, 312, 160
11317, 132, 29,  168, 212, 280, 26, 318, 183
11318, 121, 15,  156, 175, 319, 8, 320, 163
11319, 132, 22,  171, 232, 301, 15, 323, 207
11320, 136, 13,  172, 198, 295, 9, 319, 155
11321, 123, 42,  165, 206, 292, 10, 326, 177
11402, 194, 18,  189, 196, 364, 18, 347, 198
11403, 187, 13,  190, 203, 362, 21, 349, 197
11404, 186, 10,  192, 213, 352, 20, 343, 188
11405, 176, 15,  183, 187, 344, 16, 344, 188
11406, 196, 20,  187, 194, 340, 13, 330, 192
11407, 182, 13,  185, 192, 332, 13, 332, 191
11408, 175, 25,  178, 227, 319, 11, 316, 198
11409, 181, 12,  181, 188, 334, 12, 315, 196
11410, 184, 15,  176, 181, 315, 13, 309, 193
11411, 173, 12,  180, 181, 314, 9, 315, 173
11412, 184, 9,  187, 196, 316, 10, 312, 188
11413, 175, 8,  180, 174, 323, 8, 316, 187
11414, 182, 15,  187, 218, 319, 9, 317, 212
11415, 185, 9,  188, 242, 321, 12, 314, 257
11416, 192, 11,  186, 176, 329, 11, 319, 171
11417, 189, 11,  179, 266, 330, 17, 314, 256
11418, 186, 11,  173, 280, 321, 8, 305, 293
11419, 180, 12,  167, 268, 325, 8, 303, 260
11420, 191, 37,  173, 175, 368, 37, 353, 145


11430, 177, 26,  151, 212, 327, 43, 301, 175
11431, 193, 28,  161, 154, 346, 39, 316, 131
11432, 174, 32,  141, 173, 335, 19, 305, 172
11433, 175, 21,  144, 179, 319, 12, 286, 186
11434, 175, 24,  138, 200, 333, 16, 298, 190
11435, 174, 13,  158, 128, 315, 9, 297, 116
11436, 180, 16,  157, 97, 334, 16, 301, 113
11437, 186, 17,  152, 137, 329, 15, 289, 167
11438, 186, 11,  145, 181, 336, 12, 298, 171
11439, 175, 38,  137, 204, 325, 24, 286, 178
11440, 167, 23,  148, 193, 323, 14, 297, 173
11441, 177, 34,  148, 181, 320, 15, 289, 174
11442, 174, 13,  144, 171, 315, 11, 282, 172
11495, 148, 26,  196, 173, 293, 12, 336, 145
11496, 162, 20,  212, 183, 306, 8, 348, 139
11497, 163, 12,  214, 171, 302, 7, 349, 150
11498, 169, 13,  213, 159, 308, 10, 347, 138
11499, 176, 20,  217, 173, 298, 12, 352, 181
11500, 177, 26,  219, 167, 306, 7, 351, 158
11501, 175, 16,  214, 175, 319, 6, 346, 151
11502, 175, 28,  233, 189, 316, 22, 369, 161
11503, 183, 26,  234, 185, 321, 12, 365, 155
11504, 186, 42,  234, 184, 310, 17, 352, 137
11505, 177, 25,  228, 153, 324, 10, 370, 148
11506, 189, 20,  248, 182, 311, 12, 361, 155
11507, 175, 21,  223, 155, 329, 12, 371, 138
11508, 177, 16,  230, 166, 327, 9, 369, 139
11509, 191, 36,  218, 144, 331, 16, 365, 124
11510, 186, 13,  217, 175, 334, 13, 364, 141
11511, 194, 27,  218, 175, 321, 12, 354, 168
11557, 231, 33,  136, 169, 353, 35, 277, 152
11558, 212, 55,  101, 197, 342, 68, 226, 212
11559, 201, 14,  111, 150, 322, 44, 240, 169
11560, 185, 15,  120, 164, 320, 21, 251, 178
11561, 184, 35,  104, 200, 315, 44, 235, 209
11562, 176, 39,  90, 227, 314, 44, 227, 217
11563, 188, 37,  112, 195, 314, 44, 236, 199
11564, 189, 35,  113, 209, 308, 43, 238, 195
11565, 180, 32,  114, 199, 315, 26, 245, 192
11566, 183, 19,  101, 214, 306, 31, 233, 209
11567, 160, 30,  106, 203, 304, 17, 249, 172
11568, 177, 14,  115, 185, 320, 21, 247, 178
11569, 154, 22,  108, 189, 307, 18, 247, 192
11570, 151, 73,  99, 236, 296, 57, 236, 220
11571, 139, 24,  102, 142, 315, 18, 279, 141
11572, 160, 18,  115, 174, 315, 22, 264, 168
11573, 169, 22,  131, 174, 312, 16, 275, 158
11574, 151, 18,  124, 134, 316, 13, 278, 148
11575, 166, 18,  120, 167, 309, 11, 259, 160
11576, 148, 17,  115, 160, 307, 11, 257, 184
11600, 176, 7,  133, 159, 295, 8, 251, 135
11601, 179, 9,  138, 155, 290, 16, 252, 132
11602, 180, 12,  141, 130, 292, 9, 256, 131
11603, 177, 9,  140, 171, 296, 10, 281, 99
11604, 168, 8,  128, 158, 288, 11, 262, 140
11605, 179, 21,  128, 154, 313, 20, 271, 142
11606, 169, 11,  121, 180, 302, 18, 267, 125
11607, 160, 12,  140, 149, 326, 16, 308, 120
11608, 149, 10,  154, 153, 301, 19, 311, 117
11609, 137, 11,  160, 105, 285, 12, 302, 101
11611, 134, 11,  161, 108, 292, 14, 313, 90
11620, 160, 19,  190, 157, 281, 15, 317, 139
11621, 150, 21,  196, 198, 289, 19, 325, 164
11622, 143, 31,  181, 169, 286, 17, 328, 170
11623, 130, 16,  174, 137, 286, 12, 327, 135
11624, 140, 37,  186, 166, 283, 29, 327, 158
11625, 133, 35,  177, 136, 286, 29, 325, 125
11626, 136, 37,  184, 152, 292, 24, 334, 161
11627, 178, 17,  213, 161, 301, 10, 338, 157
11628, 155, 26,  193, 129, 294, 35, 343, 140
11629, 145, 29,  215, 184, 313, 19, 369, 160


11640, 163, 23,  236, 144, 299, 12, 369, 122
